,Tracking Nos.,Client Nos.,Comments
1,70192280000060192481,48755.02,4868 and check payment; Stack 1
18,70191640000164106507,49300.02,Form 4868; Slip Only
45,70191640000164106538,49788.02,Form 4868; Stack 3
53,70191640000164106323,52432.02,Form 4868; Stack 3
19,70211970000045302915,52440.02,2022 Form 1040; Slip Only
59,70191640000164106200,52955.02,Form 4868; Stack 3
51,70191640000164106439,54835.02,Form 4868; Stack 3
88,70192280000060192146,55567.02,Form 4868; Stack 4
89,70192280000060192153,55568.02,Form 4868; Stack 4
91,70192280000060192139,55569.02,Form 4868; Stack 4
70,70191640000164105746,56076.02,Form 1040ES V1; Stack 4
94,70192280000060192054,56148.02,Form 4868; Stack 4
56,70191640000164106286,60290.02,Form 4868; Stack 3
27,70196140000164105869,60475.02,4868 and check; Stack 2
24,70191640000164105357,62352.02,Response to Notice 105C; Stack 2
101,70192280000060191033,62764.02,Form 4868; Stack 4
37,70191640000164106705,66723.02,LLC Fee CA 2022; Stack 2
41,70191640000164106552,69190.02,Form 4868; Stack 3
68,70192280000060192177,70284.02,Form 4868; Stack 4
38,70191640000164106569,70380.02,Form 4868; Stack 2
81,70192280000060192252,72589.02,Form 4868; Stack 4
78,70192280000060192306,74497.02,1040ES V1; Stack 4
83,70192280000060192221,75555.0,Form 4868; Stack 4
74,70192280000060192436,75805.02,Form 4868; Stack 4
97,70192280000060192047,75837.02,Form 4868; Stack 4
58,70191640000164106194,76088.02,Form 4868; Stack 3
17,70211970000045302922,76436.02,2023 Form 843; Here before me
61,70191640000164106118,79029.02,Form 1040V; Stack 3
50,70191640000164106446,79902.02,Form 4868; Stack 3
69,70191640000164105838,82071.02,Form 4868; Stack 4
32,70191640000164105647,82275.02,Form 7004; Stack 2
64,70191640000164106088,82731.02,Form 4868; Stack 3
29,70191640000164105265,82782.02,Form 7004; Stack 2
85,70192280000060192207,83686.02,Form 4868; Stack 4
75,70192280000060192337,84672.02,Form 1040ES V1; Stack 4
36,70191640000164105319,89762.02,2020 1120S (Amended); Stack 2
65,70192280000060192504,90800.02,Form 4868; Stack 3
14,70211970000045308856,91265.02,Here before me
22,70192280000060192474,91308.02,Form 4868; Stack 2
13,70211970000045308061,91979.02,Notice CP126A; Here before me
20,70211970000045302939,92433.02,Form 1065 CP162A; Slip Only
47,70191640000164106491,94384.02,Form 4868; Stack 3
72,70191640000164105708,94838.02,Form 4868; Stack 4
39,70191640000164106583,94839.02,Form 4868; Stack 2
73,70191640000164105692,94843.02,Form 4868; Stack 4
46,70191640000164106514,94870.02,Form 4868; Stack 3
4,9114902200789659810320,94890.02,Stack 1
